BRAND NAME,PRODUCT NAME,CATEGORY,SUBCATEGORY,INGREDIENTS,NOVA Group
"ALESTO, Lidl",Walnusskerne - ALESTO - 200g,"Plant-based foods and beverages,  Plant-based foods"," Walnuts,  Walnut kernels",walnut,Unprocessed or minimally processed foods
"Nutella, Ferrero, Nutella - Ferrero","Ferrero- Nutella Biscuits Resealable Bag, 304g (10.7oz) - 304 g","Snacks,  Sweet snacks"," Biscuits,  Filled biscuits","Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'ORGE et de maïs, amidon de FROMENT, émulsifiants: lécithines [SOJA]; vanilline. Peut contenir MOUTARDE.",Ultra processed foods
Quaker,Cruesli Mélange De Noix - Quaker - 450 g,"Plant-based foods and beverages,  Plant-based foods"," Crunchy cereal clusters,  Cereal clusters with nuts","whole oats 32%, whole wheat 18%, glucose syrup, sunflower oil, sugar, toasted almonds 4, 2%, hazelnuts 4%, oligofructose, pecans 1, 5%, wheat flour, rice flour, brazil nuts 1%, honey, natural flavours, antioxidant tocopherol, may contain traces of milk, soy and sesame",Ultra processed foods
"Elle & Vire, Savencia",Le Beurre Tendre Doux - Elle & Vire - 250 g,"Dairies,  Fats"," Butter-82-fat-unsalted-easy-to-spread,  fr:Beurres tendres","cream (origin france), milk fat , lactic ferments",Processed culinary ingredients
Bonne Maman,Pâte à tartiner noisettes et cacao - Bonne Maman - 360 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","French: 
                    
                    sucre, noisettes 20%, huiles végétales (tournesol, colza), lait écrémé en poudre, cacao maigre en poudre 5,5%, beurre de cacao, émulsifiant : lécithine de tournesol, extrait de vanille. Peut contenir d'autres fruits à coque.",Ultra processed foods
Alesto,neptünas. - Alesto - 200 g,"Plant-based foods and beverages,  Plant-based foods"," Nuts and their products,  Nuts","walnuts  25%,  hazelnuts  25%,  cashews  25%, blanched  almonds  25%",Unprocessed or minimally processed foods
Primevère,Tartine Doux - Primevère - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Margarines,  Light margarines","vegetable oils and fats nonhydrogenated 54 % rapeseed,    coconut,    palm,    palm kernel,    water,    emulsifiers : mono and diglycerides of fatty acids,    sunflower lecithin,    salt,    natural flavourings,    antioxidant : extracts of rosemary,    concentrated lemon juice,    colouring agents : annatto,    curcumin,    vitamin b1,",Ultra processed foods
Wasa,Tartine croustillante Authentique - Wasa - 275 g,"Plant-based foods and beverages,  Plant-based foods"," Extruded crispbreads,  Crispbreads","French: 
                    
                    Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LAIT et de GRAINES DE SÉSAME. *en g pour 100 g de produit.",Processed foods
Lu,Cracotte Céréales Complètes - lu - 250,"Plant-based foods and beverages,  Plant-based foods"," Extruded crispbreads,  Crispbreads","cereals 98,3% [whole wheat flour 65,8%, rye flour, wheat flour 10,2%, rice flour, meatnut wheat flour, wheat semolina, buckwheat flour, barley flour], sugar, skimmed milk powder, salt, palm oil, wheat germs, emulsifier (sunflower lecithin)",Ultra processed foods
J. D. Gross,Dark Chocolate - 85% Cocoa - J. D. Gross - 125 g,"Snacks,  Sweet snacks"," Chocolates,  Dark chocolates","Cocoa Mass, Fat Reduced Cocoa Powder, Cocoa Butter, Sugar, Soya Lecithins, Vanilla Extract",Ultra processed foods
"Nestlé, Chocapic",Céréales Chocapic - Nestlé - 430 g,"Plant-based foods and beverages,  Plant-based foods"," Chocolate wheat shells,  Chocolate wheat grain flakes fortified with vitamins and chemical elements","ingredients whole wheat 35,0%, chocolate powder 22,5% (sugar, cocoa powder), wheat flour 17,0%, cornmeal, glucose syrup, sugar, barley malt extract (barley, malted barley), contains sunflower and/or palm oil, calcium carbonate, emulsifier: lecithins, salt, natural flavours, iron, vitamins b3, b5, d, b6, b1, b2 and b9,  may contain milk and nuts",Ultra processed foods
Primevère,Primevère Bio doux Tartine & Cuisson - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Margarines,  Light margarines","organic non-hydrogenated vegetable oils 54,5% (colza, palm)', water, emulsifier: organic sunflower lecithin, salt, natural aromas, organic concentrated lemon juice",Ultra processed foods
Coca-Cola,Coca-Cola zero azúcar - 330ml,"Beverages,  Carbonated drinks"," Diet sodas,  Diet cola soft drink","carbonated water, colour (caramel e150d), acid (phosphoric acid), sweeteners (aspartame, acesulfame k), natural flavourings (including caffeine), acidity regulator (sodium citrates) contains a source of phenylalanine",Ultra processed foods
Fin Carré,Extra dark chocolate 74% cacao - Fin Carré - 100 g ℮,"Snacks,  Sweet snacks"," Chocolats-noirs,  Chocolats-noirs-extra-fin","cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum",Ultra processed foods
Coca-Cola,Coca-Cola 2l - 2 L,"Beverages,  Carbonated drinks"," Cola with sugar,  Sweetened beverages","German: 
                    
                    Wasser, Kohlensäure, Farbstoff, Zuckerkulör (E150d), Zucker, Säuerungsmittel E338, natürliche Aromen inkl. Koffein.",Ultra processed foods
Le pain des Fleurs,Tartines croquantes au sarrasin - Le pain des Fleurs - 160 g,"Plant-based foods and beverages,  Plant-based foods"," Cereals and potatoes,  Extruded crispbreads","Farine de maïs* (70%), farine de riz*, sel marin. * K issus de l'agriculture biologique. • sans sucres ajoutés(¹) (contient des sucres naturellement présents.",Processed foods
Yoplait,Skyr - yoplait - 850g,"Dairies,  Fermented foods"," Skyrs,  Plain skyrs","Yaourt maigre (Lait écrémé, Poudre de la ecremé, Ferments lactiques (Lait)) Loit d'origine France. La présence éventuelle de petit lait dans le pot est naturelle.",Processed foods
Oatly,Oat drink barista edition - Oatly - 1 l,Beverages,Beverages,"water, oats 10%, rapeseed oil, acidity regulator, dipotassium phosphate, calcium carbonate, potassium iodide, salt, vitamins (d2, riboflavin and b12)",Ultra processed foods
"Milka, Mondelez",Milka Lait Alpin - 100g,"Snacks,  Sweet snacks"," Melkchocoladen,  Zoete snacks","ejskiego. Składniki: cukier, tłuszcz kakaowy, miazga kakaowa, odtłuszczone szku (z MLEKA), thuszcz MLECZNY, emulgator (lecytyny SOJOWE), pasta z t. Masa kakaowa min. 33 %. MOŻE ZAWIERAĆ INNE ORZECHY ORAZ is Alpių pieno. Sudedamosios dalys: cukrus, kakavos sviestas, trinta kakava, milteliai (iš PIENO), PIENO riebalai, emulsiklis (SOJŲ lecitinai), LAZDYNŲ Kakavos sausųjų medžiagų-ne mažiau kaip 33%. GALI BŪTI KITŲ RIEŠUTŲ no Alpu piena. Sastāvdalas: cukurs, kakao sviests, kakao masa, VĀJPIENA ENA), PIENA tauki, emulgators (SOJAS lecitini), LAZDU RIEKSTU masa, maz 33%. VAR SATURĒT CITUS RIEKSTUS UN KVIEŠUS. Alpi piimast Koostisosad: suhkur, kakaovõi, kakaomass, lossipulber (PIIMAST), MARASV, emulgaator (SOJALETSITIINID), SARAPUUPÄHKLIMASS, lõhna - ja emalt 33%. VÕIB SISALDADA MUID PÄHKLEID JA NISU. GB SMD Alpine sugar, cocoa butter, cocoa mass, skimmed MILK powder, whey powder (from OYA lecithins), HAZELNUT paste, flavouring. Cocoa solids 33 % minimum. Milk CONTAIN OTHER NUTS AND WHEAT. e 100 g 3 045140 105502 aunas, Lietuva (Leedu). COCOA 回花回",Ultra processed foods
Jardin Bio,Pur beurre de cacahuète - Jardin Bio - 350 g,"Plant-based foods and beverages,  Plant-based foods"," Nut butters,  Peanut butters",peanut puree,Unprocessed or minimally processed foods
La Fournée Dorée,La gâche tranchée - La Fournée Dorée - 500 g,"Snacks,  Sweet snacks"," fr:Brioches tranchées,  fr:Brioches tranchées pur beurre","French: 
                    
                    Farine de blé 52%, sucre, beurre frais 10%, œufs entiers frais 8%, eau, crème fraîche 3%, sel, arômes naturels (contient alcool), levure, gluten de blé, eau de vie, émulsifiant (E471), protéines de lait, levure désactivée, colorant (béta carotène)",Ultra processed foods
Heudebert,Biscottes heudebert - 300 g,"Plant-based foods and beverages,  Plant-based foods"," Rusks,  Multigrain rusks","French: 
                    
                    Céréales 93 % (farine de BLÉ 79,4 %, flocons de BLÉ malté 4,4 %, flocons d'AVOINE 1,7 %, farine d'ORGE malté 1,5 %, farine de SEIGLE 1,2 %, semoule de BLÉ 1,2 %, farine d'ORGE 1,2 %, farine de sarrasin 1,2 %, farine de riz 1,2 %), levure, graines de lin 3,6 %, graines de SÉSAME 3,4 %, huile de palme, sirop de glucose-fructose, sel, gluten de BLÉ, sucre, agent de traitement de la farine (acide ascorbique), émulsifiants (E 471, E 481), amidon de BLÉ.",Ultra processed foods
"LU, Mondelez",belvita - LU - 400 g,"Snacks,  Sweet snacks"," Biscuits,  Chocolate biscuits","grains of 56,6% [wholegrain cereals (up 38,5% (wheat flour full of 19,4%, flakes d' oats is 8,5%, whole-wheat flour d' barley of 6,2%, whole meal flour of rye is 3,4%, spelt wholemeal flour ( wheat), 1%), wheat flour, 18,1%, sugar, chocolate chips, or 12,3% [sugar, cocoa mass, vegetable oils (palm, shea in varying proportions), dextrose, cocoa butter,       emulsifier (lecithins from soya ), rapeseed oil , lean cocoa powder 3%, wheat starch , baking powder (carbonate amonium, diphosphates carbonates of sodium), minerals (calcium carbonate, magnesium carbonate, elemental iron), emulsifiers (e492, lecithins, soy, e472e), salt, skimmed milk powder, flavourings",Ultra processed foods
Bjorg,Flocons d'avoine céréale complète - Bjorg - 250 g,"Plant-based foods and beverages,  Plant-based foods"," Rolled flakes,  Rolled oats",whole oat flakes from organic farming,Unprocessed or minimally processed foods
"Crownfield, Lidl, Fortin",havervlokken - Crownfield - 300g,"Plant-based foods and beverages,  Plant-based foods"," Rolled flakes,  Rolled oats",soft whole-oat flakes,Food processing level unknown
"Ferrero, Nutella",Nutella - Ferrero - 825 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts 13%, cocoa lean to 7,4%, skimmed milk powder 6,6%, whey powder, emulsifiers : lecithins [soy], vanillin",Ultra processed foods
LU,"Lu - Cracotte Original Wheat Slices, 250g (8.8oz) - 250 g (2 × 18)","Plant-based foods and beverages,  Plant-based foods"," Cereals and potatoes,  Extruded crispbreads","cereals to 97.8 % (wheat flour 97,3 %, rye flour ), sugar, whey powder (milk ), palm oil, salt, mineral (diphosphate ferric), emulsifier (sunflower lecithin)",Ultra processed foods
Alpro,Oat No Sugars - Alpro - 1 l,"Plant-based foods and beverages,  Beverages"," Cereal-based drinks,  Oat-based drinks","Water, Oats 8, 7%, Chicory Root Fibers, Sunflower Oil, Calcium Carbonate, Sea Salt, Stabilizer Gellan, Vitamins B2, B12, D2,",Ultra processed foods
Jacquet,14 Maxi Tranches complet sans sucres ajoutés - Jacquet - 550 g,"Plant-based foods and beverages,  Plant-based foods"," Wholemeal breads,  Wholemeal sliced breads","Ingrédients: Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colza, levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Présence possible de: Lait, œufs, graines de sésame.",Food processing level unknown
Nutella,Nutella - 630 g,"Breakfasts,  Spreads"," Chocolate spreads,  Cocoa and hazelnuts spreads","French: 
                    
                    Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants : lécithines [ SOJA ] vanilline.",Ultra processed foods
Lindt,70% Cocoa Intense Dark Chocolate Bar - Lindt - 100g,"Snacks,  Sweet snacks"," Dark chocolate bar with more than 70% cocoa,  Extra fine dark chocolates","cocoa mass (70%), sugar, cocoa butter, vanilla",Processed foods
Nestlé,"RICORE Original, Café & Chicorée, Boîte 260g - Nestlé - 260 g","Plant-based foods and beverages,  Beverages"," Instant chicory,  Instant mix of chicory and coffee powder","soluble coffee (34,3%), chicory fibre (oligofructose) (33%), soluble chicory (30,8%), magnesium sulphate",Unprocessed or minimally processed foods
